latitude:6.16896131;longitude:-75.33748414;altitude:2107.984130859375;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:285.70001220703125;speed:0.27000001072883606;elapsedMs:13;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16895242;longitude:-75.33748032;altitude:2107.247314453125;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:320.29998779296875;speed:0.3799999952316284;elapsedMs:15;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16893824;longitude:-75.33747421;altitude:2106.26171875;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:0.0;speed:0.0;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16892281;longitude:-75.33744939;altitude:2105.707763671875;accuracy:5.360000133514404;vertical_accuracy:12.0;bearing:0.0;speed:0.0;elapsedMs:3;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16892049;longitude:-75.33743077;altitude:2105.420166015625;accuracy:5.360000133514404;vertical_accuracy:12.0;bearing:0.0;speed:0.0;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16892343;longitude:-75.33741785;altitude:2104.969482421875;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:0.0;speed:0.0;elapsedMs:16;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16892065;longitude:-75.33741107;altitude:2106.0634765625;accuracy:5.360000133514404;vertical_accuracy:12.0;bearing:0.0;speed:0.0;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16891272;longitude:-75.33740639;altitude:2108.2333984375;accuracy:5.360000133514404;vertical_accuracy:12.0;bearing:0.0;speed:0.0;elapsedMs:12;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.1688769;longitude:-75.33740938;altitude:2108.626953125;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:190.5;speed:3.1700000762939453;elapsedMs:7;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16879964;longitude:-75.33742364;altitude:2107.085205078125;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:187.8000030517578;speed:4.03000020980835;elapsedMs:14;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16871354;longitude:-75.33743756;altitude:2106.78955078125;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:186.89999389648438;speed:4.429999828338623;elapsedMs:9;provider:gps;(2021, 5, 18, 13, 6)
latitude:6.16862894;longitude:-75.33744763;altitude:2113.626953125;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:187.3000030517578;speed:3.5199999809265137;elapsedMs:10;provider:gps;(2021, 5, 18, 13, 6)
