latitude:6.26585389;longitude:-75.5753367;altitude:1474.3458251953125;accuracy:7.504000186920166;vertical_accuracy:6.0;bearing:287.20001220703125;speed:22.030000686645508;elapsedMs:27;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26604945;longitude:-75.57567711;altitude:1474.868896484375;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:299.1000061035156;speed:20.110000610351562;elapsedMs:8;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26626569;longitude:-75.57592209;altitude:1477.76123046875;accuracy:7.504000186920166;vertical_accuracy:8.0;bearing:308.0;speed:18.079999923706055;elapsedMs:33;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.2665168;longitude:-75.57607209;altitude:1477.0372314453125;accuracy:7.504000186920166;vertical_accuracy:8.0;bearing:320.6000061035156;speed:16.809999465942383;elapsedMs:2;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26678563;longitude:-75.57623263;altitude:1471.1031494140625;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:331.6000061035156;speed:15.890000343322754;elapsedMs:17;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26707522;longitude:-75.57628039;altitude:1470.8143310546875;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:348.1000061035156;speed:15.5600004196167;elapsedMs:5;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26735125;longitude:-75.57626249;altitude:1472.7130126953125;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:3.299999952316284;speed:15.289999961853027;elapsedMs:21;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26760548;longitude:-75.57618325;altitude:1473.0372314453125;accuracy:7.504000186920166;vertical_accuracy:8.0;bearing:15.0;speed:14.600000381469727;elapsedMs:14;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.2677686;longitude:-75.5761132;altitude:1476.0931396484375;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:23.0;speed:11.600000381469727;elapsedMs:16;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26791405;longitude:-75.57602498;altitude:1476.0948486328125;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:31.700000762939453;speed:10.15999984741211;elapsedMs:26;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26806186;longitude:-75.57592901;altitude:1475.306884765625;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:37.099998474121094;speed:9.710000038146973;elapsedMs:14;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26817129;longitude:-75.57582923;altitude:1479.1597900390625;accuracy:6.432000160217285;vertical_accuracy:6.0;bearing:35.400001525878906;speed:8.34000015258789;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26820773;longitude:-75.5757902;altitude:1479.4093017578125;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:31.100000381469727;speed:4.090000152587891;elapsedMs:12;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.2682511;longitude:-75.57575111;altitude:1479.97998046875;accuracy:7.504000186920166;vertical_accuracy:8.0;bearing:40.20000076293945;speed:2.0899999141693115;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26831304;longitude:-75.57571724;altitude:1478.2779541015625;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:26.299999237060547;speed:1.6200000047683716;elapsedMs:3;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26839388;longitude:-75.57567025;altitude:1480.9937744140625;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:30.299999237060547;speed:3.299999952316284;elapsedMs:4;provider:gps;(2020, 12, 13, 15, 7)
latitude:6.26844456;longitude:-75.57565583;altitude:1482.653076171875;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:21.5;speed:3.9700000286102295;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 7)
